"nct_id","phase","overall_status","start_year","country_name","is_uk"
NCT05182476,PHASE2,TERMINATED,2021,Serbia,false
NCT05182476,PHASE2,TERMINATED,2021,Spain,false
NCT05182476,PHASE2,TERMINATED,2021,United States,false
NCT05182567,PHASE1,UNKNOWN,2022,Puerto Rico,false
NCT05182567,PHASE1,UNKNOWN,2022,United States,false
NCT05182697,NA,RECRUITING,2024,Israel,false
NCT05182749,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,2023,United States,false
NCT05182840,PHASE2,COMPLETED,2022,Argentina,false
NCT05182840,PHASE2,COMPLETED,2022,Australia,false
NCT05182840,PHASE2,COMPLETED,2022,Belgium,false
NCT05182840,PHASE2,COMPLETED,2022,Brazil,false
NCT05182840,PHASE2,COMPLETED,2022,Bulgaria,false
NCT05182840,PHASE2,COMPLETED,2022,Canada,false
NCT05182840,PHASE2,COMPLETED,2022,China,false
NCT05182840,PHASE2,COMPLETED,2022,Czechia,false
NCT05182840,PHASE2,COMPLETED,2022,Finland,false
NCT05182840,PHASE2,COMPLETED,2022,Germany,false
NCT05182840,PHASE2,COMPLETED,2022,Greece,false
NCT05182840,PHASE2,COMPLETED,2022,Hong Kong,false
NCT05182840,PHASE2,COMPLETED,2022,Hungary,false
NCT05182840,PHASE2,COMPLETED,2022,India,false
NCT05182840,PHASE2,COMPLETED,2022,Italy,false
NCT05182840,PHASE2,COMPLETED,2022,Japan,false
NCT05182840,PHASE2,COMPLETED,2022,Malaysia,false
NCT05182840,PHASE2,COMPLETED,2022,Mexico,false
NCT05182840,PHASE2,COMPLETED,2022,Norway,false
NCT05182840,PHASE2,COMPLETED,2022,Philippines,false
NCT05182840,PHASE2,COMPLETED,2022,Poland,false
NCT05182840,PHASE2,COMPLETED,2022,Portugal,false
NCT05182840,PHASE2,COMPLETED,2022,South Africa,false
NCT05182840,PHASE2,COMPLETED,2022,South Korea,false
NCT05182840,PHASE2,COMPLETED,2022,Spain,false
NCT05182840,PHASE2,COMPLETED,2022,Sweden,false
NCT05182840,PHASE2,COMPLETED,2022,Switzerland,false
NCT05182840,PHASE2,COMPLETED,2022,Turkey (Türkiye),false
NCT05182840,PHASE2,COMPLETED,2022,United States,false
NCT05183347,PHASE1,COMPLETED,2022,Japan,false
NCT05183360,PHASE1,TERMINATED,2022,Japan,false
NCT05183516,PHASE1/PHASE2,UNKNOWN,2023,United States,false
NCT05183646,PHASE3,RECRUITING,2022,Argentina,false
NCT05183646,PHASE3,RECRUITING,2022,Australia,false
NCT05183646,PHASE3,RECRUITING,2022,Brazil,false
NCT05183646,PHASE3,RECRUITING,2022,China,false
NCT05183646,PHASE3,RECRUITING,2022,Czechia,false
NCT05183646,PHASE3,RECRUITING,2022,Denmark,false
NCT05183646,PHASE3,RECRUITING,2022,France,false
NCT05183646,PHASE3,RECRUITING,2022,Germany,false
NCT05183646,PHASE3,RECRUITING,2022,Hong Kong,false
NCT05183646,PHASE3,RECRUITING,2022,Italy,false
NCT05183646,PHASE3,RECRUITING,2022,Japan,false
NCT05183646,PHASE3,RECRUITING,2022,Malaysia,false
NCT05183646,PHASE3,RECRUITING,2022,Mexico,false
NCT05183646,PHASE3,RECRUITING,2022,New Zealand,false
NCT05183646,PHASE3,RECRUITING,2022,Portugal,false
NCT05183646,PHASE3,RECRUITING,2022,Spain,false
NCT05183646,PHASE3,RECRUITING,2022,Taiwan,false
NCT05183646,PHASE3,RECRUITING,2022,Thailand,false
NCT05183646,PHASE3,RECRUITING,2022,Turkey (Türkiye),false
NCT05183646,PHASE3,RECRUITING,2022,United Kingdom,true
NCT05183646,PHASE3,RECRUITING,2022,United States,false
NCT05184062,PHASE2,COMPLETED,2021,China,false
NCT05184088,PHASE3,COMPLETED,2023,Germany,false
NCT05184088,PHASE3,COMPLETED,2023,Spain,false
NCT05184088,PHASE3,COMPLETED,2023,United Kingdom,true
NCT05184088,PHASE3,COMPLETED,2023,United States,false
NCT05184218,PHASE1,TERMINATED,2022,South Africa,false
NCT05184322,PHASE1,COMPLETED,2022,Australia,false
NCT05184335,PHASE3,RECRUITING,2022,United States,false
NCT05184517,EARLY_PHASE1,COMPLETED,2023,Israel,false
NCT05184712,PHASE3,ACTIVE_NOT_RECRUITING,2022,China,false
NCT05184764,PHASE1/PHASE2,COMPLETED,2022,Australia,false
NCT05184764,PHASE1/PHASE2,COMPLETED,2022,United States,false
NCT05184868,PHASE1,COMPLETED,2022,United States,false
NCT05185011,PHASE1,COMPLETED,2021,China,false
NCT05185089,PHASE2,COMPLETED,2022,Netherlands,false
NCT05185089,PHASE2,COMPLETED,2022,United Kingdom,true
NCT05185089,PHASE2,COMPLETED,2022,United States,false
NCT05185622,PHASE2,COMPLETED,2022,Canada,false
NCT05185843,PHASE3,ACTIVE_NOT_RECRUITING,2022,Canada,false
